#,Name,Team,POS,R/L,G,GS,QS,TBF,IP,W,L,SV,HLD,ERA,SIERA,WHIP,K,BB,H,HBP,ER,R,HR,GB%,FB%,LD%,BABIP,RazzID
218,Pierce Johnson,CIN,RP,R,64.8,0.0,0.0,276.2,64.8,3.2,3.1,0,16,4.30,4.03,1.29,70.7,26.3,57.0,2.2,29.3,31.5,9,37.1,43.2,19.7,0.281,13435
219,Brent Suter,LAA,RP,L,64.8,0.0,0.0,278.6,64.8,3.0,3.4,0,6,4.60,4.44,1.35,50.5,20.5,67.1,2.6,32.2,34.8,9,42.8,36.2,21.0,0.292,13942
220,Carlos Estevez,KC,RP,R,64.8,0.0,0.0,277.1,64.8,3.2,3.2,25,3,4.61,4.16,1.24,60.7,24.2,56.1,2.8,31.8,33.9,9,31.3,49.1,19.6,0.261,14542
221,Edwin Diaz,LAD,RP,R,64.8,0.0,0.0,263.1,64.8,3.9,2.5,30,0,3.12,2.64,1.05,89.0,23.1,45.1,3.2,22.3,24.4,6,41.0,39.7,19.3,0.272,14710
222,Luke Weaver,NYM,RP,R,64.8,0.0,0.0,271.8,64.8,3.3,3.0,3,21,3.90,3.46,1.14,69.1,20.4,53.3,2.5,29.0,31.0,9,34.6,45.7,19.7,0.257,16918
223,Raisel Iglesias,ATL,RP,R,64.8,0.0,0.0,271.0,64.8,3.4,2.9,20,6,3.93,3.35,1.13,70.1,18.8,54.3,2.4,28.3,30.4,8,35.7,44.7,19.6,0.267,17130
224,Michael Kelly,ATH,RP,R,64.8,0.0,0.0,283.0,64.8,3.1,3.2,0,11,4.86,4.43,1.37,58.2,27.9,61.2,2.8,34.1,36.6,9,38.8,41.3,19.9,0.279,547184
225,Hoby Milner,CHC,RP,L,64.8,0.0,0.0,276.5,64.8,3.3,3.1,0,16,3.97,4.05,1.34,54.8,20.7,65.9,2.7,29.0,31.7,7,47.5,31.8,20.7,0.306,571948
226,Aaron Bummer,ATL,RP,L,64.8,0.0,0.0,274.3,64.8,3.5,2.8,0,6,3.59,3.52,1.31,66.5,24.3,60.6,3.8,25.8,28.6,5,54.2,25.8,20.0,0.316,607481
227,Dietrich Enns,BAL,RP,L,64.8,0.0,0.0,273.8,64.8,3.3,3.0,0,13,4.08,3.93,1.27,58.0,19.3,63.3,2.5,29.0,31.5,8,43.3,36.7,20.1,0.297,608650
228,Tanner Banks,PHI,RP,L,64.8,0.0,0.0,271.7,64.8,3.3,3.0,0,10,4.03,3.79,1.22,62.0,19.9,59.1,2.4,28.5,30.8,8,40.6,39.6,19.8,0.281,621383
229,Justin Topa,MIN,RP,R,64.8,0.0,0.0,277.7,64.8,3.2,3.2,7,16,4.16,3.95,1.35,55.0,22.1,65.2,2.9,30.1,32.9,7,48.8,31.3,19.9,0.306,623437
230,Kyle Finnegan,DET,RP,R,64.8,0.0,0.0,273.4,64.8,3.2,3.1,0,19,3.96,3.63,1.24,63.2,23.1,57.3,1.9,28.8,31.3,7,44.3,36.3,19.4,0.283,640448
231,Adbert Alzolay,NYM,RP,R,64.8,0.0,0.0,274.6,64.8,3.3,3.1,0,6,4.13,3.80,1.23,63.5,21.3,58.5,3.0,30.6,33.0,9,39.9,40.2,19.8,0.277,640470
232,Bryan Baker,TB,RP,R,64.8,0.0,0.0,272.6,64.8,3.2,3.1,0,17,3.93,3.60,1.21,73.7,24.0,54.2,2.0,28.4,30.5,8,36.7,43.6,19.7,0.273,641329
233,Brad Keller,PHI,RP,R,64.8,0.0,0.0,277.3,64.8,3.2,3.1,0,24,4.24,3.96,1.32,57.2,24.5,60.8,2.9,30.0,32.7,7,48.4,31.5,20.1,0.286,641745
234,Emilio Pagan,CIN,RP,R,64.8,0.0,0.0,271.0,64.8,3.2,3.1,20,6,4.33,3.93,1.19,70.4,23.0,53.8,2.1,29.6,31.5,10,30.6,49.5,19.8,0.259,641941
235,Devin Williams,NYM,RP,R,64.8,0.0,0.0,269.3,64.8,3.6,2.8,30,0,3.29,3.14,1.19,82.6,28.2,49.1,2.8,24.5,26.7,6,42.7,37.3,20.0,0.284,642207
236,Dennis Santana,PIT,RP,R,64.8,0.0,0.0,276.4,64.8,3.2,3.2,20,6,4.20,3.72,1.23,59.8,23.4,56.2,2.8,30.2,32.6,7,38.9,41.3,19.7,0.271,642701
237,Julian Fernandez,WSH,RP,R,64.8,0.0,0.0,271.3,64.8,3.2,3.2,0,16,3.93,3.61,1.20,66.5,23.2,54.5,2.2,28.3,30.5,8,39.7,40.9,19.4,0.274,642759
238,Griffin Jax,TB,RP,R,64.8,0.0,0.0,264.0,64.8,3.5,2.8,12,16,3.18,2.94,1.12,82.7,19.9,52.4,2.4,23.0,25.2,6,43.8,36.8,19.4,0.294,643377
239,Mark Leiter Jr.,ATH,RP,R,64.8,0.0,0.0,276.4,64.8,3.3,3.0,7,16,4.18,4.24,1.35,67.2,25.6,61.9,3.6,29.4,31.9,8,44.5,35.2,20.3,0.310,643410
240,Bryan Abreu,HOU,RP,R,64.8,0.0,0.0,268.7,64.8,3.6,2.8,3,23,3.43,3.23,1.17,85.3,26.5,49.2,3.2,24.4,26.5,7,38.4,42.1,19.5,0.282,650556
241,Jake Bird,NYY,RP,R,64.8,0.0,0.0,278.8,64.8,3.3,3.0,0,14,4.06,4.00,1.34,66.3,27.0,59.8,4.0,29.0,31.6,7,46.3,33.9,19.8,0.299,656234
242,Brock Burke,CIN,RP,L,64.8,0.0,0.0,273.8,64.8,3.2,3.1,0,14,4.30,4.27,1.31,60.7,22.8,62.3,2.5,29.3,31.7,9,42.1,38.1,19.9,0.293,656271
243,Kevin Ginkel,ARI,RP,R,64.8,0.0,0.0,272.8,64.8,3.4,3.0,7,16,3.92,3.70,1.27,66.5,23.2,59.0,2.6,28.3,30.7,7,41.5,38.8,19.7,0.302,656464
244,Trevor Megill,MIL,RP,R,64.8,0.0,0.0,268.0,64.8,3.4,3.0,15,10,3.66,3.16,1.14,80.5,23.5,50.4,2.3,26.5,28.5,8,36.7,44.3,19.1,0.270,656730
245,Tanner Scott,LAD,RP,L,64.8,0.0,0.0,271.5,64.8,3.7,2.7,5,19,3.52,3.41,1.22,75.4,26.4,52.7,2.7,25.2,27.6,7,44.2,36.2,19.6,0.284,656945
246,Ryan Thompson,ARI,RP,R,64.8,0.0,0.0,276.4,64.8,3.3,3.1,5,23,4.21,4.06,1.35,52.1,21.0,66.3,2.6,30.3,33.1,6,49.5,30.1,20.4,0.311,657044
247,Tim Hill,NYY,RP,L,64.8,0.0,0.0,280.8,64.8,3.2,3.1,0,14,4.31,4.19,1.40,39.4,20.6,69.9,2.7,30.8,34.0,7,55.8,23.6,20.7,0.297,657612
248,Jared Koenig,MIL,RP,L,64.8,0.0,0.0,272.2,64.8,3.3,3.0,0,25,3.71,3.64,1.25,68.4,23.1,57.6,3.1,26.8,29.3,7,43.7,36.8,19.6,0.289,657649
249,Eduard Bazardo,SEA,RP,R,64.8,0.0,0.0,275.4,64.8,3.2,3.2,0,13,4.05,3.64,1.21,68.0,22.2,56.1,2.5,30.3,32.7,8,39.9,40.1,20.0,0.267,660825
250,Enyel De Los Santos,HOU,RP,R,64.8,0.0,0.0,277.6,64.8,3.2,3.2,0,6,4.49,4.31,1.31,64.2,24.8,59.9,2.9,32.0,34.2,10,36.3,43.9,19.8,0.281,660853
251,Andres Munoz,SEA,RP,R,64.8,0.0,0.0,271.4,64.8,3.5,2.8,30,0,3.22,2.91,1.15,83.7,26.2,48.4,3.1,24.1,26.6,6,46.6,34.1,19.3,0.271,662253
252,Robert Suarez,ATL,RP,R,64.8,0.0,0.0,268.9,64.8,3.5,2.9,10,19,3.72,3.29,1.15,71.0,20.4,53.8,2.3,26.8,29.0,7,40.2,40.6,19.2,0.275,663158
253,Cole Sands,MIN,RP,R,64.8,0.0,0.0,272.5,64.8,3.2,3.1,0,13,4.08,3.69,1.22,64.3,20.4,58.4,3.1,29.5,31.8,8,39.5,40.9,19.6,0.284,663485
254,Tony Santillan,CIN,RP,R,64.8,0.0,0.0,278.6,64.8,3.2,3.2,0,19,4.52,4.25,1.32,67.2,28.7,56.8,3.3,30.8,33.1,9,37.1,43.1,19.8,0.274,663574
255,Hogan Harris,ATH,RP,L,64.8,0.0,0.0,277.9,64.8,3.2,3.1,7,16,4.42,4.30,1.35,62.7,28.5,58.8,2.6,31.1,33.4,8,38.9,40.9,20.1,0.285,663687
256,Daniel Lynch IV,KC,RP,L,64.8,0.0,0.0,274.6,64.8,3.2,3.1,0,8,4.47,4.28,1.29,51.1,19.9,63.9,2.8,30.8,33.4,8,42.7,37.3,20.0,0.288,663738
257,Jordan Hicks,CHW,RP,R,64.8,0.0,0.0,276.0,64.8,3.2,3.2,0,6,4.03,3.99,1.35,61.6,26.4,61.4,3.8,29.0,31.7,7,49.2,31.0,19.8,0.306,663855
258,Tyler Holton,DET,RP,L,64.8,0.0,0.0,272.7,64.8,3.2,3.1,0,17,3.92,3.47,1.18,56.3,17.8,58.4,2.2,28.5,31.0,7,45.0,34.9,20.2,0.271,663947
259,Tyler Phillips,MIA,RP,R,64.8,0.0,0.0,277.3,64.8,3.0,3.3,0,13,4.40,4.16,1.35,47.8,20.2,67.0,2.4,31.5,34.3,7,49.8,29.1,21.1,0.300,663969
260,Alexis Diaz,TEX,RP,R,64.8,0.0,0.0,287.1,64.8,3.0,3.4,0,6,4.95,4.67,1.41,64.5,33.6,57.6,4.8,35.5,37.7,10,33.9,46.0,20.1,0.272,664747
